review_id,order_id,review_score,review_comment_message,review_creation_date,review_answer_timestamp
REV0001,ORD0001,1,auto,2026-04-26 16:04:35,2026-04-26 16:04:35
REV0002,ORD0002,1,auto,2026-04-26 16:04:35,2026-04-26 16:04:35
REV0003,ORD0003,4,auto,2026-04-26 16:04:35,2026-04-26 16:04:35
REV0004,ORD0004,2,auto,2026-04-26 16:04:35,2026-04-26 16:04:35
REV0005,ORD0005,4,auto,2026-04-26 16:04:35,2026-04-26 16:04:35
REV0006,ORD0006,1,auto,2026-04-27 16:04:35,2026-04-27 16:04:35
REV0007,ORD0007,3,auto,2026-04-27 16:04:35,2026-04-27 16:04:35
REV0008,ORD0008,2,auto,2026-04-27 16:04:35,2026-04-27 16:04:35
REV0009,ORD0009,1,auto,2026-04-27 16:04:35,2026-04-27 16:04:35
REV0010,ORD0010,1,auto,2026-04-27 16:04:35,2026-04-27 16:04:35
REV0011,ORD0011,5,auto,2026-04-27 16:04:35,2026-04-27 16:04:35
REV0012,ORD0012,1,auto,2026-04-28 16:04:35,2026-04-28 16:04:35
REV0013,ORD0013,2,auto,2026-04-28 16:04:35,2026-04-28 16:04:35
REV0014,ORD0014,5,auto,2026-04-28 16:04:35,2026-04-28 16:04:35
REV0015,ORD0015,2,auto,2026-04-28 16:04:35,2026-04-28 16:04:35
REV0016,ORD0016,5,auto,2026-04-29 16:04:35,2026-04-29 16:04:35
REV0017,ORD0017,3,auto,2026-04-29 16:04:35,2026-04-29 16:04:35
REV0018,ORD0018,1,auto,2026-04-29 16:04:35,2026-04-29 16:04:35
REV0019,ORD0019,5,auto,2026-04-29 16:04:35,2026-04-29 16:04:35
REV0020,ORD0020,3,auto,2026-04-30 16:04:35,2026-04-30 16:04:35
REV0021,ORD0021,2,auto,2026-04-30 16:04:35,2026-04-30 16:04:35
REV0022,ORD0022,2,auto,2026-05-01 16:04:35,2026-05-01 16:04:35
REV0023,ORD0023,4,auto,2026-05-01 16:04:35,2026-05-01 16:04:35
REV0024,ORD0024,4,auto,2026-05-01 16:04:35,2026-05-01 16:04:35
REV0025,ORD0025,2,auto,2026-05-01 16:04:35,2026-05-01 16:04:35
REV0026,ORD0026,2,auto,2026-05-01 16:04:35,2026-05-01 16:04:35
REV0027,ORD0027,3,auto,2026-05-01 16:04:35,2026-05-01 16:04:35
REV0028,ORD0028,4,auto,2026-05-01 16:04:35,2026-05-01 16:04:35
REV0029,ORD0029,2,auto,2026-05-01 16:04:35,2026-05-01 16:04:35
REV0030,ORD0030,5,auto,2026-05-02 16:04:35,2026-05-02 16:04:35
REV0031,ORD0031,2,auto,2026-05-02 16:04:35,2026-05-02 16:04:35
REV0032,ORD0032,3,auto,2026-05-02 16:04:35,2026-05-02 16:04:35
REV0033,ORD0033,4,auto,2026-05-02 16:04:35,2026-05-02 16:04:35
REV0034,ORD0034,3,auto,2026-05-03 16:04:35,2026-05-03 16:04:35
REV0035,ORD0035,1,auto,2026-05-03 16:04:35,2026-05-03 16:04:35
REV0036,ORD0036,1,auto,2026-05-03 16:04:35,2026-05-03 16:04:35
REV0037,ORD0037,4,auto,2026-05-03 16:04:35,2026-05-03 16:04:35
REV0038,ORD0038,5,auto,2026-05-03 16:04:35,2026-05-03 16:04:35
REV0039,ORD0039,5,auto,2026-05-03 16:04:35,2026-05-03 16:04:35
REV0040,ORD0040,5,auto,2026-05-03 16:04:35,2026-05-03 16:04:35
REV0041,ORD0041,1,auto,2026-05-03 16:04:35,2026-05-03 16:04:35
REV0042,ORD0042,3,auto,2026-05-04 16:04:35,2026-05-04 16:04:35
REV0043,ORD0043,3,auto,2026-05-04 16:04:35,2026-05-04 16:04:35
REV0044,ORD0044,2,auto,2026-05-04 16:04:35,2026-05-04 16:04:35
REV0045,ORD0045,2,auto,2026-05-04 16:04:35,2026-05-04 16:04:35
REV0046,ORD0046,4,auto,2026-05-04 16:04:35,2026-05-04 16:04:35
REV0047,ORD0047,3,auto,2026-05-04 16:04:35,2026-05-04 16:04:35
REV0048,ORD0048,1,auto,2026-05-04 16:04:35,2026-05-04 16:04:35
REV0049,ORD0049,2,auto,2026-05-05 16:04:35,2026-05-05 16:04:35
REV0050,ORD0050,1,auto,2026-05-05 16:04:35,2026-05-05 16:04:35
REV0051,ORD0051,4,auto,2026-05-05 16:04:35,2026-05-05 16:04:35
REV0052,ORD0052,3,auto,2026-05-05 16:04:35,2026-05-05 16:04:35
REV0053,ORD0053,2,auto,2026-05-06 16:04:35,2026-05-06 16:04:35
REV0054,ORD0054,5,auto,2026-05-07 16:04:35,2026-05-07 16:04:35
REV0055,ORD0055,3,auto,2026-05-07 16:04:35,2026-05-07 16:04:35
REV0056,ORD0056,3,auto,2026-05-07 16:04:35,2026-05-07 16:04:35
REV0057,ORD0057,4,auto,2026-05-07 16:04:35,2026-05-07 16:04:35
REV0058,ORD0058,1,auto,2026-05-07 16:04:35,2026-05-07 16:04:35
REV0059,ORD0059,1,auto,2026-05-07 16:04:35,2026-05-07 16:04:35
REV0060,ORD0060,3,auto,2026-05-07 16:04:35,2026-05-07 16:04:35
REV0061,ORD0061,2,auto,2026-05-07 16:04:35,2026-05-07 16:04:35
REV0062,ORD0062,5,auto,2026-05-08 16:04:35,2026-05-08 16:04:35
REV0063,ORD0063,2,auto,2026-05-08 16:04:35,2026-05-08 16:04:35
REV0064,ORD0064,5,auto,2026-05-08 16:04:35,2026-05-08 16:04:35
REV0065,ORD0065,4,auto,2026-05-09 16:04:35,2026-05-09 16:04:35
REV0066,ORD0066,2,auto,2026-05-09 16:04:35,2026-05-09 16:04:35
REV0067,ORD0067,4,auto,2026-05-09 16:04:35,2026-05-09 16:04:35
REV0068,ORD0068,3,auto,2026-05-09 16:04:35,2026-05-09 16:04:35
REV0069,ORD0069,4,auto,2026-05-09 16:04:35,2026-05-09 16:04:35
REV0070,ORD0070,3,auto,2026-05-09 16:04:35,2026-05-09 16:04:35
REV0071,ORD0071,4,auto,2026-05-09 16:04:35,2026-05-09 16:04:35
REV0072,ORD0072,1,auto,2026-05-10 16:04:35,2026-05-10 16:04:35
REV0073,ORD0073,5,auto,2026-05-11 16:04:35,2026-05-11 16:04:35
REV0074,ORD0074,3,auto,2026-05-11 16:04:35,2026-05-11 16:04:35
REV0075,ORD0075,3,auto,2026-05-11 16:04:35,2026-05-11 16:04:35
REV0076,ORD0076,4,auto,2026-05-11 16:04:35,2026-05-11 16:04:35
REV0077,ORD0077,3,auto,2026-05-12 16:04:35,2026-05-12 16:04:35
REV0078,ORD0078,3,auto,2026-05-12 16:04:35,2026-05-12 16:04:35
REV0079,ORD0079,1,auto,2026-05-12 16:04:35,2026-05-12 16:04:35
REV0080,ORD0080,4,auto,2026-05-12 16:04:35,2026-05-12 16:04:35
REV0081,ORD0081,4,auto,2026-05-12 16:04:35,2026-05-12 16:04:35
REV0082,ORD0082,1,auto,2026-05-12 16:04:35,2026-05-12 16:04:35
REV0083,ORD0083,5,auto,2026-05-12 16:04:35,2026-05-12 16:04:35
REV0084,ORD0084,5,auto,2026-05-13 16:04:35,2026-05-13 16:04:35
REV0085,ORD0085,5,auto,2026-05-13 16:04:35,2026-05-13 16:04:35
REV0086,ORD0086,1,auto,2026-05-13 16:04:35,2026-05-13 16:04:35
REV0087,ORD0087,2,auto,2026-05-13 16:04:35,2026-05-13 16:04:35
REV0088,ORD0088,5,auto,2026-05-14 16:04:35,2026-05-14 16:04:35
REV0089,ORD0089,5,auto,2026-05-14 16:04:35,2026-05-14 16:04:35
REV0090,ORD0090,3,auto,2026-05-14 16:04:35,2026-05-14 16:04:35
REV0091,ORD0091,2,auto,2026-05-14 16:04:35,2026-05-14 16:04:35
REV0092,ORD0092,4,auto,2026-05-14 16:04:35,2026-05-14 16:04:35
REV0093,ORD0093,3,auto,2026-05-14 16:04:35,2026-05-14 16:04:35
REV0094,ORD0094,4,auto,2026-05-14 16:04:35,2026-05-14 16:04:35
REV0095,ORD0095,3,auto,2026-05-14 16:04:35,2026-05-14 16:04:35
REV0096,ORD0096,4,auto,2026-05-15 16:04:35,2026-05-15 16:04:35
REV0097,ORD0097,1,auto,2026-05-15 16:04:35,2026-05-15 16:04:35
REV0098,ORD0098,2,auto,2026-05-15 16:04:35,2026-05-15 16:04:35
REV0099,ORD0099,2,auto,2026-05-16 16:04:35,2026-05-16 16:04:35
REV0100,ORD0100,3,auto,2026-05-16 16:04:35,2026-05-16 16:04:35
REV0101,ORD0101,3,auto,2026-05-16 16:04:35,2026-05-16 16:04:35
REV0102,ORD0102,1,auto,2026-05-16 16:04:35,2026-05-16 16:04:35
REV0103,ORD0103,3,auto,2026-05-16 16:04:35,2026-05-16 16:04:35
REV0104,ORD0104,4,auto,2026-05-16 16:04:35,2026-05-16 16:04:35
REV0105,ORD0105,3,auto,2026-05-17 16:04:35,2026-05-17 16:04:35
REV0106,ORD0106,3,auto,2026-05-17 16:04:35,2026-05-17 16:04:35
REV0107,ORD0107,1,auto,2026-05-17 16:04:35,2026-05-17 16:04:35
REV0108,ORD0108,2,auto,2026-05-17 16:04:35,2026-05-17 16:04:35
REV0109,ORD0109,5,auto,2026-05-17 16:04:35,2026-05-17 16:04:35
REV0110,ORD0110,5,auto,2026-05-17 16:04:35,2026-05-17 16:04:35
REV0111,ORD0111,4,auto,2026-05-18 16:04:35,2026-05-18 16:04:35
